Feature_Name,Score
Sox10,4876.743646637303
Batf3,4322.599668945982
Ngfr,4030.2667405207403
Nkd2,3990.048193588312
Dcn,3871.2463806002597
Col1a1,3846.002149930058
Pou2af1,3772.916996935866
Col5a1,3732.999274711277
Col8a1,3675.569378776995
Trbc2,3632.8352835327887
Tnfsf4,3553.516209270219
C1qb,3325.122621477752
Ccr7,3324.5899566806615
Col5a2,3320.621243019663
C1qc,3252.1032875004325
Mpeg1,3236.0312898460916
Lyz2,3143.7462290689487
Col3a1,3003.994195456507
Ms4a6c,2997.473733822085
Mmp12,2854.5270427150253
