Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,100.0,100.0,100.0,100.0,100.0,100.0
CellType 1,99.03474903474904,100.0,97.59615384615384,98.4126984126984,100.0,98.78345498783456
CellType 2,99.61389961389962,95.83333333333334,95.83333333333334,99.79757085020243,99.79757085020243,95.83333333333334
CellType 3,99.61389961389962,98.88888888888889,98.88888888888889,99.76635514018692,99.76635514018692,98.88888888888889
CellType 4,99.61389961389962,99.09909909909909,99.09909909909909,99.75429975429975,99.75429975429975,99.09909909909909
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.8069498069498,85.71428571428571,100.0,100.0,99.8046875,92.30769230769229
CellType 7,99.8069498069498,96.15384615384616,100.0,100.0,99.79716024340772,98.0392156862745
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 13,99.8069498069498,0.0,,100.0,99.8069498069498,
